路線,日付,始発～7時,7時～10時,10時～16時,16時～21時,21時～終電,曜日
埼京線,11月28日,10,20,30,20,30,Thu
埼京線,11月27日,0,20,40,30,30,Wed
埼京線,11月26日,0,20,20,40,10,Tue
埼京線,11月25日,10,30,30,20,20,Mon
埼京線,11月24日,0,0,10,20,10,Sun
埼京線,11月23日,0,0,60,40,20,Sat
埼京線,11月22日,0,20,10,30,30,Fri
埼京線,11月21日,10,20,30,10,20,Thu
埼京線,11月20日,0,20,10,10,20,Wed
埼京線,11月19日,10,20,10,30,30,Tue
埼京線,11月18日,0,50,60,20,10,Mon
埼京線,11月17日,0,0,10,30,10,Sun
埼京線,11月16日,0,10,20,10,20,Sat
埼京線,11月15日,0,60,60,20,20,Fri
埼京線,11月14日,0,10,10,20,10,Thu
埼京線,11月13日,0,10,20,10,50,Wed
埼京線,11月12日,0,30,30,0,20,Tue
埼京線,11月11日,20,20,10,20,0,Mon
埼京線,11月10日,0,20,20,30,30,Sun
埼京線,11月9日,0,10,10,0,10,Sat
埼京線,11月8日,0,20,30,10,10,Fri
埼京線,11月7日,0,10,10,10,10,Thu
埼京線,11月6日,0,60,40,10,10,Wed
埼京線,11月5日,10,10,20,10,50,Tue
埼京線,11月4日,0,10,60,40,10,Mon
埼京線,11月3日,0,0,20,0,10,Sun
埼京線,11月2日,0,10,20,20,20,Sat
埼京線,11月1日,0,20,60,30,20,Fri
埼京線,12月31日,0,20,60,60,0,Tue
埼京線,12月30日,0,0,10,10,20,Mon
埼京線,12月29日,0,20,20,10,10,Sun
埼京線,12月28日,10,0,10,20,10,Sat
埼京線,12月27日,10,20,60,20,20,Fri
埼京線,12月26日,0,0,20,20,20,Thu
埼京線,12月25日,0,20,20,20,20,Wed
埼京線,12月24日,0,10,20,20,20,Tue
埼京線,12月23日,0,30,20,20,20,Mon
埼京線,12月22日,0,0,10,20,20,Sun
埼京線,12月21日,10,0,20,20,20,Sat
埼京線,12月20日,0,60,60,20,20,Fri
埼京線,12月19日,0,20,30,40,20,Thu
埼京線,12月18日,0,60,60,20,10,Wed
埼京線,12月17日,0,20,20,10,60,Tue
埼京線,12月16日,0,30,30,20,10,Mon
埼京線,12月15日,20,10,0,20,20,Sun
埼京線,12月14日,10,10,30,10,20,Sat
埼京線,12月13日,0,20,20,10,20,Fri
埼京線,12月12日,0,60,60,10,30,Thu
埼京線,12月11日,0,20,20,10,20,Wed
埼京線,12月10日,10,20,30,20,10,Tue
埼京線,12月9日,10,10,10,10,10,Mon
埼京線,12月8日,10,10,10,20,50,Sun
埼京線,12月7日,0,10,0,20,10,Sat
埼京線,12月6日,0,10,20,10,20,Fri
埼京線,12月5日,10,10,10,30,60,Thu
埼京線,12月4日,30,20,20,30,10,Wed
埼京線,12月3日,0,60,60,20,20,Tue
埼京線,12月2日,0,30,40,30,10,Mon
埼京線,12月1日,0,10,30,20,0,Sun
埼京線,11月30日,0,10,20,10,20,
埼京線,11月29日,0,10,20,20,20,
